Check failed for (fp64): alpha = 6.08212337734984; beta = 1.52053084433746; diff = 4.44089209850063e-16; 968/1000
Check failed for (fp64): alpha = 6.08840656265702; beta = 1.52210164066425; diff = 4.44089209850063e-16; 969/1000
Check failed for (fp64): alpha = 6.0946897479642; beta = 1.52367243699105; diff = 2.22044604925031e-16; 970/1000
Check failed for (fp64): alpha = 6.10097293327138; beta = 1.52524323331784; diff = 1.94289029309402e-16; 971/1000
Check failed for (fp64): alpha = 6.1261056745001; beta = 1.53152641862502; diff = 2.08166817117217e-16; 975/1000
Check failed for (fp64): alpha = 6.13238885980728; beta = 1.53309721495182; diff = 2.22044604925031e-16; 976/1000
Check failed for (fp64): alpha = 6.13867204511446; beta = 1.53466801127861; diff = 4.57966997657877e-16; 977/1000
Check failed for (fp64): alpha = 6.14495523042164; beta = 1.53623880760541; diff = 4.30211422042248e-16; 978/1000
Check failed for (fp64): alpha = 6.15123841572882; beta = 1.5378096039322; diff = 2.22044604925031e-16; 979/1000
Check failed for (fp64): alpha = 6.15752160103599; beta = 1.539380400259; diff = 2.22044604925031e-16; 980/1000
Check failed for (fp64): alpha = 6.18265434226471; beta = 1.54566358556618; diff = 2.22044604925031e-16; 984/1000
Check failed for (fp64): alpha = 6.18893752757189; beta = 1.54723438189297; diff = 2.08166817117217e-16; 985/1000
Check failed for (fp64): alpha = 6.19522071287907; beta = 1.54880517821977; diff = 4.30211422042248e-16; 986/1000
Check failed for (fp64): alpha = 6.20150389818625; beta = 1.55037597454656; diff = 4.37150315946155e-16; 987/1000
Check failed for (fp64): alpha = 6.20778708349343; beta = 1.55194677087336; diff = 2.15105711021124e-16; 988/1000
Check failed for (fp64): alpha = 6.21407026880061; beta = 1.55351756720015; diff = 2.28983498828939e-16; 989/1000
Check failed for (fp64): alpha = 6.23920301002933; beta = 1.55980075250733; diff = 2.22044604925031e-16; 993/1000
Check failed for (fp64): alpha = 6.24548619533651; beta = 1.56137154883413; diff = 2.22044604925031e-16; 994/1000
Check failed for (fp64): alpha = 6.25176938064369; beta = 1.56294234516092; diff = 4.44089209850063e-16; 995/1000
Check failed for (fp64): alpha = 6.25805256595087; beta = 1.56451314148772; diff = 4.44089209850063e-16; 996/1000
Check failed for (fp64): alpha = 6.26433575125805; beta = 1.56608393781451; diff = 2.20309881449055e-16; 997/1000
Check failed for (fp64): alpha = 6.27061893656523; beta = 1.56765473414131; diff = 2.22044604925031e-16; 998/1000
Epsilon (fp64): 1.11022e-16
Failed: 1020; OK: 981
