Check failed for (fp32): alpha = -6.283185; beta = -1.570796; diff = 1.192093e-07; -1000/1000
Check failed for (fp32): alpha = 3.864159; beta = 0.9660398; diff = 1.341105e-07; 615/1000
Check failed for (fp32): alpha = 3.870442; beta = 0.9676105; diff = 1.043081e-07; 616/1000
Check failed for (fp32): alpha = 3.883008; beta = 0.9707521; diff = 1.192093e-07; 618/1000
Check failed for (fp32): alpha = 3.889292; beta = 0.972323; diff = 1.937151e-07; 619/1000
Check failed for (fp32): alpha = 3.895575; beta = 0.9738938; diff = 1.490116e-07; 620/1000
Check failed for (fp32): alpha = 3.901858; beta = 0.9754645; diff = 1.192093e-07; 621/1000
Check failed for (fp32): alpha = 3.908141; beta = 0.9770353; diff = 2.682209e-07; 622/1000
Check failed for (fp32): alpha = 3.914425; beta = 0.9786062; diff = 1.788139e-07; 623/1000
Check failed for (fp32): alpha = 3.926991; beta = 0.9817477; diff = 1.192093e-07; 625/1000
Check failed for (fp32): alpha = 3.933274; beta = 0.9833185; diff = 7.450581e-08; 626/1000
Check failed for (fp32): alpha = 3.939557; beta = 0.9848893; diff = 2.682209e-07; 627/1000
Check failed for (fp32): alpha = 3.945841; beta = 0.9864601; diff = 2.384186e-07; 628/1000
Check failed for (fp32): alpha = 3.958407; beta = 0.9896017; diff = 8.940697e-08; 630/1000
Check failed for (fp32): alpha = 3.970973; beta = 0.9927434; diff = 1.192093e-07; 632/1000
Check failed for (fp32): alpha = 3.977257; beta = 0.9943141; diff = 1.490116e-07; 633/1000
Check failed for (fp32): alpha = 3.989823; beta = 0.9974557; diff = 2.086163e-07; 635/1000
Check failed for (fp32): alpha = 4.002389; beta = 1.000597; diff = 1.192093e-07; 637/1000
Check failed for (fp32): alpha = 4.008672; beta = 1.002168; diff = 1.192093e-07; 638/1000
Check failed for (fp32): alpha = 4.014956; beta = 1.003739; diff = 5.960464e-08; 639/1000
Check failed for (fp32): alpha = 4.021239; beta = 1.00531; diff = 8.940697e-08; 640/1000
Check failed for (fp32): alpha = 4.027522; beta = 1.00688; diff = 8.940697e-08; 641/1000
Check failed for (fp32): alpha = 4.033805; beta = 1.008451; diff = 1.192093e-07; 642/1000
Check failed for (fp32): alpha = 4.040088; beta = 1.010022; diff = 1.490116e-07; 643/1000
Check failed for (fp32): alpha = 4.052655; beta = 1.013164; diff = 1.788139e-07; 645/1000
Check failed for (fp32): alpha = 4.058938; beta = 1.014735; diff = 2.086163e-07; 646/1000
Check failed for (fp32): alpha = 4.065221; beta = 1.016305; diff = 1.192093e-07; 647/1000
Check failed for (fp32): alpha = 4.071504; beta = 1.017876; diff = 1.192093e-07; 648/1000
Check failed for (fp32): alpha = 4.090354; beta = 1.022588; diff = 2.384186e-07; 651/1000
Check failed for (fp32): alpha = 4.096637; beta = 1.024159; diff = 2.682209e-07; 652/1000
Check failed for (fp32): alpha = 4.10292; beta = 1.02573; diff = 1.788139e-07; 653/1000
Check failed for (fp32): alpha = 4.12177; beta = 1.030442; diff = 2.086163e-07; 656/1000
Check failed for (fp32): alpha = 4.128053; beta = 1.032013; diff = 2.086163e-07; 657/1000
Check failed for (fp32): alpha = 4.134336; beta = 1.033584; diff = 1.192093e-07; 658/1000
Check failed for (fp32): alpha = 4.140619; beta = 1.035155; diff = 5.960464e-08; 659/1000
Check failed for (fp32): alpha = 4.146903; beta = 1.036726; diff = 8.940697e-08; 660/1000
Check failed for (fp32): alpha = 4.153186; beta = 1.038296; diff = 2.086163e-07; 661/1000
Check failed for (fp32): alpha = 4.159469; beta = 1.039867; diff = 2.384186e-07; 662/1000
Check failed for (fp32): alpha = 4.165752; beta = 1.041438; diff = 8.940697e-08; 663/1000
Check failed for (fp32): alpha = 4.178319; beta = 1.04458; diff = 1.192093e-07; 665/1000
Check failed for (fp32): alpha = 4.184602; beta = 1.04615; diff = 2.384186e-07; 666/1000
Check failed for (fp32): alpha = 4.190885; beta = 1.047721; diff = 1.788139e-07; 667/1000
Check failed for (fp32): alpha = 4.197168; beta = 1.049292; diff = 5.960464e-08; 668/1000
Check failed for (fp32): alpha = 4.203451; beta = 1.050863; diff = 5.960464e-08; 669/1000
Check failed for (fp32): alpha = 4.209734; beta = 1.052434; diff = 5.960464e-08; 670/1000
Check failed for (fp32): alpha = 4.216017; beta = 1.054004; diff = 5.960464e-08; 671/1000
Check failed for (fp32): alpha = 4.222301; beta = 1.055575; diff = 1.788139e-07; 672/1000
Check failed for (fp32): alpha = 4.228584; beta = 1.057146; diff = 5.960464e-08; 673/1000
Check failed for (fp32): alpha = 4.24115; beta = 1.060288; diff = 1.192093e-07; 675/1000
Check failed for (fp32): alpha = 4.247433; beta = 1.061858; diff = 5.960464e-08; 676/1000
Check failed for (fp32): alpha = 4.253716; beta = 1.063429; diff = 1.788139e-07; 677/1000
Check failed for (fp32): alpha = 4.26; beta = 1.065; diff = 1.192093e-07; 678/1000
Check failed for (fp32): alpha = 4.266283; beta = 1.066571; diff = 5.960464e-08; 679/1000
Check failed for (fp32): alpha = 4.272566; beta = 1.068142; diff = 5.960464e-08; 680/1000
Check failed for (fp32): alpha = 4.278849; beta = 1.069712; diff = 5.960464e-08; 681/1000
Check failed for (fp32): alpha = 4.285132; beta = 1.071283; diff = 1.192093e-07; 682/1000
Check failed for (fp32): alpha = 4.291416; beta = 1.072854; diff = 1.192093e-07; 683/1000
Check failed for (fp32): alpha = 4.297699; beta = 1.074425; diff = 5.960464e-08; 684/1000
Check failed for (fp32): alpha = 4.303982; beta = 1.075996; diff = 1.192093e-07; 685/1000
Check failed for (fp32): alpha = 4.310265; beta = 1.077566; diff = 5.960464e-08; 686/1000
Check failed for (fp32): alpha = 4.316548; beta = 1.079137; diff = 1.788139e-07; 687/1000
Check failed for (fp32): alpha = 4.322832; beta = 1.080708; diff = 1.192093e-07; 688/1000
Check failed for (fp32): alpha = 4.329115; beta = 1.082279; diff = 5.960464e-08; 689/1000
Check failed for (fp32): alpha = 4.335398; beta = 1.08385; diff = 1.192093e-07; 690/1000
Check failed for (fp32): alpha = 4.341681; beta = 1.08542; diff = 5.960464e-08; 691/1000
Check failed for (fp32): alpha = 4.347964; beta = 1.086991; diff = 2.384186e-07; 692/1000
Check failed for (fp32): alpha = 4.354248; beta = 1.088562; diff = 5.960464e-08; 693/1000
Check failed for (fp32): alpha = 4.373097; beta = 1.093274; diff = 5.960464e-08; 696/1000
Check failed for (fp32): alpha = 4.37938; beta = 1.094845; diff = 1.788139e-07; 697/1000
Check failed for (fp32): alpha = 4.385664; beta = 1.096416; diff = 5.960464e-08; 698/1000
Check failed for (fp32): alpha = 4.39823; beta = 1.099557; diff = 5.960464e-08; 700/1000
Check failed for (fp32): alpha = 4.404513; beta = 1.101128; diff = 5.960464e-08; 701/1000
Check failed for (fp32): alpha = 4.410796; beta = 1.102699; diff = 1.788139e-07; 702/1000
Check failed for (fp32): alpha = 4.423363; beta = 1.105841; diff = 5.960464e-08; 704/1000
Check failed for (fp32): alpha = 4.429646; beta = 1.107411; diff = 5.960464e-08; 705/1000
Check failed for (fp32): alpha = 4.435929; beta = 1.108982; diff = 1.192093e-07; 706/1000
Check failed for (fp32): alpha = 4.442212; beta = 1.110553; diff = 1.788139e-07; 707/1000
Check failed for (fp32): alpha = 4.448495; beta = 1.112124; diff = 5.960464e-08; 708/1000
Check failed for (fp32): alpha = 4.467345; beta = 1.116836; diff = 1.192093e-07; 711/1000
Check failed for (fp32): alpha = 4.473628; beta = 1.118407; diff = 1.788139e-07; 712/1000
Check failed for (fp32): alpha = 4.479911; beta = 1.119978; diff = 1.192093e-07; 713/1000
Check failed for (fp32): alpha = 4.486194; beta = 1.121549; diff = 1.192093e-07; 714/1000
Check failed for (fp32): alpha = 4.498761; beta = 1.12469; diff = 5.960464e-08; 716/1000
Check failed for (fp32): alpha = 4.505044; beta = 1.126261; diff = 1.192093e-07; 717/1000
Check failed for (fp32): alpha = 4.51761; beta = 1.129403; diff = 5.960464e-08; 719/1000
Check failed for (fp32): alpha = 4.523894; beta = 1.130973; diff = 5.960464e-08; 720/1000
Check failed for (fp32): alpha = 4.530177; beta = 1.132544; diff = 5.960464e-08; 721/1000
Check failed for (fp32): alpha = 4.53646; beta = 1.134115; diff = 1.192093e-07; 722/1000
Check failed for (fp32): alpha = 4.542743; beta = 1.135686; diff = 1.192093e-07; 723/1000
Check failed for (fp32): alpha = 4.549026; beta = 1.137257; diff = 5.960464e-08; 724/1000
Check failed for (fp32): alpha = 4.55531; beta = 1.138827; diff = 5.960464e-08; 725/1000
Check failed for (fp32): alpha = 4.561593; beta = 1.140398; diff = 1.192093e-07; 726/1000
Check failed for (fp32): alpha = 4.567876; beta = 1.141969; diff = 2.384186e-07; 727/1000
Check failed for (fp32): alpha = 4.574159; beta = 1.14354; diff = 5.960464e-08; 728/1000
Check failed for (fp32): alpha = 4.580442; beta = 1.14511; diff = 5.960464e-08; 729/1000
Check failed for (fp32): alpha = 4.586726; beta = 1.146681; diff = 5.960464e-08; 730/1000
Check failed for (fp32): alpha = 4.593009; beta = 1.148252; diff = 5.960464e-08; 731/1000
Check failed for (fp32): alpha = 4.599292; beta = 1.149823; diff = 1.788139e-07; 732/1000
Check failed for (fp32): alpha = 4.605575; beta = 1.151394; diff = 1.192093e-07; 733/1000
Check failed for (fp32): alpha = 4.611858; beta = 1.152965; diff = 5.960464e-08; 734/1000
Check failed for (fp32): alpha = 4.618142; beta = 1.154535; diff = 5.960464e-08; 735/1000
Check failed for (fp32): alpha = 4.624424; beta = 1.156106; diff = 5.960464e-08; 736/1000
Check failed for (fp32): alpha = 4.630708; beta = 1.157677; diff = 1.192093e-07; 737/1000
Check failed for (fp32): alpha = 4.636991; beta = 1.159248; diff = 1.192093e-07; 738/1000
Check failed for (fp32): alpha = 4.643274; beta = 1.160819; diff = 5.960464e-08; 739/1000
Check failed for (fp32): alpha = 4.65584; beta = 1.16396; diff = 5.960464e-08; 741/1000
Check failed for (fp32): alpha = 4.662124; beta = 1.165531; diff = 1.192093e-07; 742/1000
Check failed for (fp32): alpha = 4.668406; beta = 1.167102; diff = 1.192093e-07; 743/1000
Check failed for (fp32): alpha = 4.67469; beta = 1.168673; diff = 5.960464e-08; 744/1000
Check failed for (fp32): alpha = 4.687256; beta = 1.171814; diff = 5.960464e-08; 746/1000
Check failed for (fp32): alpha = 4.69354; beta = 1.173385; diff = 1.192093e-07; 747/1000
Check failed for (fp32): alpha = 4.699823; beta = 1.174956; diff = 1.192093e-07; 748/1000
Check failed for (fp32): alpha = 4.712389; beta = 1.178097; diff = 5.960464e-08; 750/1000
Check failed for (fp32): alpha = 4.718672; beta = 1.179668; diff = 1.192093e-07; 751/1000
Check failed for (fp32): alpha = 4.724956; beta = 1.181239; diff = 1.192093e-07; 752/1000
Check failed for (fp32): alpha = 4.737522; beta = 1.184381; diff = 5.960464e-08; 754/1000
Check failed for (fp32): alpha = 4.750088; beta = 1.187522; diff = 5.960464e-08; 756/1000
Check failed for (fp32): alpha = 4.756371; beta = 1.189093; diff = 5.960464e-08; 757/1000
Check failed for (fp32): alpha = 4.768938; beta = 1.192234; diff = 5.960464e-08; 759/1000
Check failed for (fp32): alpha = 4.787787; beta = 1.196947; diff = 5.960464e-08; 762/1000
Check failed for (fp32): alpha = 4.794071; beta = 1.198518; diff = 5.960464e-08; 763/1000
Check failed for (fp32): alpha = 4.800354; beta = 1.200088; diff = 5.960464e-08; 764/1000
Check failed for (fp32): alpha = 4.81292; beta = 1.20323; diff = 5.960464e-08; 766/1000
Check failed for (fp32): alpha = 4.819203; beta = 1.204801; diff = 1.192093e-07; 767/1000
Check failed for (fp32): alpha = 4.838053; beta = 1.209513; diff = 5.960464e-08; 770/1000
Check failed for (fp32): alpha = 4.844336; beta = 1.211084; diff = 5.960464e-08; 771/1000
Check failed for (fp32): alpha = 4.856903; beta = 1.214226; diff = 5.960464e-08; 773/1000
Check failed for (fp32): alpha = 4.888318; beta = 1.22208; diff = 5.960464e-08; 778/1000
Check failed for (fp32): alpha = 4.894601; beta = 1.22365; diff = 5.960464e-08; 779/1000
Check failed for (fp32): alpha = 4.926017; beta = 1.231504; diff = 5.960464e-08; 784/1000
Check failed for (fp32): alpha = 4.932301; beta = 1.233075; diff = 5.960464e-08; 785/1000
Check failed for (fp32): alpha = 4.944867; beta = 1.236217; diff = 5.960464e-08; 787/1000
Check failed for (fp32): alpha = 4.957433; beta = 1.239358; diff = 1.192093e-07; 789/1000
Check failed for (fp32): alpha = 4.976283; beta = 1.244071; diff = 5.960464e-08; 792/1000
Check failed for (fp32): alpha = 4.982566; beta = 1.245641; diff = 5.960464e-08; 793/1000
Check failed for (fp32): alpha = 4.995132; beta = 1.248783; diff = 5.960464e-08; 795/1000
Check failed for (fp32): alpha = 5.001416; beta = 1.250354; diff = 5.960464e-08; 796/1000
Check failed for (fp32): alpha = 5.032832; beta = 1.258208; diff = 5.960464e-08; 801/1000
Check failed for (fp32): alpha = 5.039114; beta = 1.259779; diff = 5.960464e-08; 802/1000
Check failed for (fp32): alpha = 5.057964; beta = 1.264491; diff = 5.960464e-08; 805/1000
Check failed for (fp32): alpha = 5.07053; beta = 1.267633; diff = 5.960464e-08; 807/1000
Check failed for (fp32): alpha = 5.08938; beta = 1.272345; diff = 5.960464e-08; 810/1000
Check failed for (fp32): alpha = 5.095664; beta = 1.273916; diff = 5.960464e-08; 811/1000
Check failed for (fp32): alpha = 5.10823; beta = 1.277058; diff = 5.960464e-08; 813/1000
Check failed for (fp32): alpha = 5.120796; beta = 1.280199; diff = 5.960464e-08; 815/1000
Check failed for (fp32): alpha = 5.152212; beta = 1.288053; diff = 5.960464e-08; 820/1000
Check failed for (fp32): alpha = 5.158495; beta = 1.289624; diff = 5.960464e-08; 821/1000
Check failed for (fp32): alpha = 5.177345; beta = 1.294336; diff = 5.960464e-08; 824/1000
Check failed for (fp32): alpha = 5.202477; beta = 1.300619; diff = 1.192093e-07; 828/1000
Check failed for (fp32): alpha = 5.208761; beta = 1.30219; diff = 5.960464e-08; 829/1000
Check failed for (fp32): alpha = 5.215044; beta = 1.303761; diff = 5.960464e-08; 830/1000
Check failed for (fp32): alpha = 5.233893; beta = 1.308473; diff = 5.960464e-08; 833/1000
Check failed for (fp32): alpha = 5.240177; beta = 1.310044; diff = 5.960464e-08; 834/1000
Check failed for (fp32): alpha = 5.259027; beta = 1.314757; diff = 1.192093e-07; 837/1000
Check failed for (fp32): alpha = 5.265309; beta = 1.316327; diff = 5.960464e-08; 838/1000
Check failed for (fp32): alpha = 5.271593; beta = 1.317898; diff = 5.960464e-08; 839/1000
Check failed for (fp32): alpha = 5.277875; beta = 1.319469; diff = 5.960464e-08; 840/1000
Check failed for (fp32): alpha = 5.284159; beta = 1.32104; diff = 5.960464e-08; 841/1000
Check failed for (fp32): alpha = 5.290442; beta = 1.32261; diff = 5.960464e-08; 842/1000
Check failed for (fp32): alpha = 5.296725; beta = 1.324181; diff = 5.960464e-08; 843/1000
Check failed for (fp32): alpha = 5.303009; beta = 1.325752; diff = 5.960464e-08; 844/1000
Check failed for (fp32): alpha = 5.315575; beta = 1.328894; diff = 5.960464e-08; 846/1000
Check failed for (fp32): alpha = 5.328141; beta = 1.332035; diff = 5.960464e-08; 848/1000
Check failed for (fp32): alpha = 5.334424; beta = 1.333606; diff = 5.960464e-08; 849/1000
Check failed for (fp32): alpha = 5.346991; beta = 1.336748; diff = 5.960464e-08; 851/1000
Check failed for (fp32): alpha = 5.359557; beta = 1.339889; diff = 5.960464e-08; 853/1000
Check failed for (fp32): alpha = 5.36584; beta = 1.34146; diff = 1.192093e-07; 854/1000
Check failed for (fp32): alpha = 5.372124; beta = 1.343031; diff = 5.960464e-08; 855/1000
Check failed for (fp32): alpha = 5.38469; beta = 1.346172; diff = 5.960464e-08; 857/1000
Check failed for (fp32): alpha = 5.390973; beta = 1.347743; diff = 1.192093e-07; 858/1000
Check failed for (fp32): alpha = 5.416106; beta = 1.354026; diff = 5.960464e-08; 862/1000
Check failed for (fp32): alpha = 5.422389; beta = 1.355597; diff = 5.960464e-08; 863/1000
Check failed for (fp32): alpha = 5.428672; beta = 1.357168; diff = 1.192093e-07; 864/1000
Check failed for (fp32): alpha = 5.441238; beta = 1.36031; diff = 5.960464e-08; 866/1000
Check failed for (fp32): alpha = 5.447522; beta = 1.36188; diff = 5.960464e-08; 867/1000
Check failed for (fp32): alpha = 5.453805; beta = 1.363451; diff = 2.384186e-07; 868/1000
Check failed for (fp32): alpha = 5.460088; beta = 1.365022; diff = 5.960464e-08; 869/1000
Check failed for (fp32): alpha = 5.466372; beta = 1.366593; diff = 5.960464e-08; 870/1000
Check failed for (fp32): alpha = 5.478938; beta = 1.369734; diff = 5.960464e-08; 872/1000
Check failed for (fp32): alpha = 5.485221; beta = 1.371305; diff = 1.192093e-07; 873/1000
Check failed for (fp32): alpha = 5.491504; beta = 1.372876; diff = 5.960464e-08; 874/1000
Check failed for (fp32): alpha = 5.497787; beta = 1.374447; diff = 5.960464e-08; 875/1000
Check failed for (fp32): alpha = 5.510354; beta = 1.377588; diff = 1.192093e-07; 877/1000
Check failed for (fp32): alpha = 5.516637; beta = 1.379159; diff = 5.960464e-08; 878/1000
Check failed for (fp32): alpha = 5.52292; beta = 1.38073; diff = 5.960464e-08; 879/1000
Check failed for (fp32): alpha = 5.529203; beta = 1.382301; diff = 5.960464e-08; 880/1000
Check failed for (fp32): alpha = 5.54177; beta = 1.385442; diff = 1.788139e-07; 882/1000
Check failed for (fp32): alpha = 5.548053; beta = 1.387013; diff = 1.192093e-07; 883/1000
Check failed for (fp32): alpha = 5.554336; beta = 1.388584; diff = 5.960464e-08; 884/1000
Check failed for (fp32): alpha = 5.560619; beta = 1.390155; diff = 1.192093e-07; 885/1000
Check failed for (fp32): alpha = 5.566902; beta = 1.391726; diff = 5.960464e-08; 886/1000
Check failed for (fp32): alpha = 5.573185; beta = 1.393296; diff = 5.960464e-08; 887/1000
Check failed for (fp32): alpha = 5.579469; beta = 1.394867; diff = 1.192093e-07; 888/1000
Check failed for (fp32): alpha = 5.585752; beta = 1.396438; diff = 1.192093e-07; 889/1000
Check failed for (fp32): alpha = 5.592035; beta = 1.398009; diff = 5.960464e-08; 890/1000
Check failed for (fp32): alpha = 5.604601; beta = 1.40115; diff = 1.788139e-07; 892/1000
Check failed for (fp32): alpha = 5.610885; beta = 1.402721; diff = 1.788139e-07; 893/1000
Check failed for (fp32): alpha = 5.617168; beta = 1.404292; diff = 1.192093e-07; 894/1000
Check failed for (fp32): alpha = 5.623451; beta = 1.405863; diff = 5.960464e-08; 895/1000
Check failed for (fp32): alpha = 5.629735; beta = 1.407434; diff = 1.192093e-07; 896/1000
Check failed for (fp32): alpha = 5.636017; beta = 1.409004; diff = 5.960464e-08; 897/1000
Check failed for (fp32): alpha = 5.642301; beta = 1.410575; diff = 1.788139e-07; 898/1000
Check failed for (fp32): alpha = 5.648584; beta = 1.412146; diff = 5.960464e-08; 899/1000
Check failed for (fp32): alpha = 5.654867; beta = 1.413717; diff = 5.960464e-08; 900/1000
Check failed for (fp32): alpha = 5.66115; beta = 1.415288; diff = 5.960464e-08; 901/1000
Check failed for (fp32): alpha = 5.667433; beta = 1.416858; diff = 1.192093e-07; 902/1000
Check failed for (fp32): alpha = 5.673717; beta = 1.418429; diff = 1.788139e-07; 903/1000
Check failed for (fp32): alpha = 5.679999; beta = 1.42; diff = 2.384186e-07; 904/1000
Check failed for (fp32): alpha = 5.686283; beta = 1.421571; diff = 5.960464e-08; 905/1000
Check failed for (fp32): alpha = 5.692566; beta = 1.423142; diff = 1.192093e-07; 906/1000
Check failed for (fp32): alpha = 5.698849; beta = 1.424712; diff = 1.192093e-07; 907/1000
Check failed for (fp32): alpha = 5.705132; beta = 1.426283; diff = 1.788139e-07; 908/1000
Check failed for (fp32): alpha = 5.711415; beta = 1.427854; diff = 2.384186e-07; 909/1000
Check failed for (fp32): alpha = 5.717699; beta = 1.429425; diff = 5.960464e-08; 910/1000
Check failed for (fp32): alpha = 5.723982; beta = 1.430995; diff = 5.960464e-08; 911/1000
Check failed for (fp32): alpha = 5.730265; beta = 1.432566; diff = 5.960464e-08; 912/1000
Check failed for (fp32): alpha = 5.736548; beta = 1.434137; diff = 1.788139e-07; 913/1000
Check failed for (fp32): alpha = 5.742831; beta = 1.435708; diff = 1.788139e-07; 914/1000
Check failed for (fp32): alpha = 5.755398; beta = 1.438849; diff = 5.960464e-08; 916/1000
Check failed for (fp32): alpha = 5.761681; beta = 1.44042; diff = 1.192093e-07; 917/1000
Check failed for (fp32): alpha = 5.767964; beta = 1.441991; diff = 1.788139e-07; 918/1000
Check failed for (fp32): alpha = 5.774248; beta = 1.443562; diff = 5.960464e-08; 919/1000
Check failed for (fp32): alpha = 5.793097; beta = 1.448274; diff = 1.192093e-07; 922/1000
Check failed for (fp32): alpha = 5.79938; beta = 1.449845; diff = 5.960464e-08; 923/1000
Check failed for (fp32): alpha = 5.805664; beta = 1.451416; diff = 1.192093e-07; 924/1000
Check failed for (fp32): alpha = 5.824513; beta = 1.456128; diff = 5.960464e-08; 927/1000
Check failed for (fp32): alpha = 5.830796; beta = 1.457699; diff = 1.192093e-07; 928/1000
Check failed for (fp32): alpha = 5.83708; beta = 1.45927; diff = 1.192093e-07; 929/1000
Check failed for (fp32): alpha = 5.843362; beta = 1.460841; diff = 5.960464e-08; 930/1000
Check failed for (fp32): alpha = 5.855929; beta = 1.463982; diff = 1.192093e-07; 932/1000
Check failed for (fp32): alpha = 5.862212; beta = 1.465553; diff = 1.788139e-07; 933/1000
Check failed for (fp32): alpha = 5.868495; beta = 1.467124; diff = 8.940697e-08; 934/1000
Check failed for (fp32): alpha = 5.874778; beta = 1.468695; diff = 1.490116e-07; 935/1000
Check failed for (fp32): alpha = 5.887345; beta = 1.471836; diff = 5.960464e-08; 937/1000
Check failed for (fp32): alpha = 5.893628; beta = 1.473407; diff = 2.086163e-07; 938/1000
Check failed for (fp32): alpha = 5.899911; beta = 1.474978; diff = 1.192093e-07; 939/1000
Check failed for (fp32): alpha = 5.906194; beta = 1.476549; diff = 8.940697e-08; 940/1000
Check failed for (fp32): alpha = 5.918761; beta = 1.47969; diff = 8.940697e-08; 942/1000
Check failed for (fp32): alpha = 5.925044; beta = 1.481261; diff = 2.384186e-07; 943/1000
Check failed for (fp32): alpha = 5.931327; beta = 1.482832; diff = 1.192093e-07; 944/1000
Check failed for (fp32): alpha = 5.93761; beta = 1.484403; diff = 8.940697e-08; 945/1000
Check failed for (fp32): alpha = 5.950177; beta = 1.487544; diff = 1.192093e-07; 947/1000
Check failed for (fp32): alpha = 5.95646; beta = 1.489115; diff = 2.384186e-07; 948/1000
Check failed for (fp32): alpha = 5.962743; beta = 1.490686; diff = 2.086163e-07; 949/1000
Check failed for (fp32): alpha = 5.969026; beta = 1.492257; diff = 8.940697e-08; 950/1000
Check failed for (fp32): alpha = 5.981593; beta = 1.495398; diff = 1.490116e-07; 952/1000
Check failed for (fp32): alpha = 5.987876; beta = 1.496969; diff = 2.086163e-07; 953/1000
Check failed for (fp32): alpha = 5.994159; beta = 1.49854; diff = 2.384186e-07; 954/1000
Check failed for (fp32): alpha = 6.000442; beta = 1.500111; diff = 1.192093e-07; 955/1000
Check failed for (fp32): alpha = 6.013009; beta = 1.503252; diff = 1.192093e-07; 957/1000
Check failed for (fp32): alpha = 6.019292; beta = 1.504823; diff = 2.384186e-07; 958/1000
Check failed for (fp32): alpha = 6.025575; beta = 1.506394; diff = 1.788139e-07; 959/1000
Check failed for (fp32): alpha = 6.031858; beta = 1.507964; diff = 8.940697e-08; 960/1000
Check failed for (fp32): alpha = 6.044425; beta = 1.511106; diff = 8.940697e-08; 962/1000
Check failed for (fp32): alpha = 6.050708; beta = 1.512677; diff = 2.384186e-07; 963/1000
Check failed for (fp32): alpha = 6.056991; beta = 1.514248; diff = 2.086163e-07; 964/1000
Check failed for (fp32): alpha = 6.063274; beta = 1.515818; diff = 1.192093e-07; 965/1000
Check failed for (fp32): alpha = 6.07584; beta = 1.51896; diff = 1.192093e-07; 967/1000
Check failed for (fp32): alpha = 6.082123; beta = 1.520531; diff = 1.192093e-07; 968/1000
Check failed for (fp32): alpha = 6.088407; beta = 1.522102; diff = 2.235174e-07; 969/1000
Check failed for (fp32): alpha = 6.107256; beta = 1.526814; diff = 1.341105e-07; 972/1000
Check failed for (fp32): alpha = 6.113539; beta = 1.528385; diff = 1.192093e-07; 973/1000
Check failed for (fp32): alpha = 6.119823; beta = 1.529956; diff = 2.384186e-07; 974/1000
Check failed for (fp32): alpha = 6.126106; beta = 1.531526; diff = 1.043081e-07; 975/1000
Check failed for (fp32): alpha = 6.138672; beta = 1.534668; diff = 1.043081e-07; 977/1000
Check failed for (fp32): alpha = 6.144955; beta = 1.536239; diff = 1.043081e-07; 978/1000
Check failed for (fp32): alpha = 6.151238; beta = 1.53781; diff = 2.235174e-07; 979/1000
Check failed for (fp32): alpha = 6.157522; beta = 1.53938; diff = 1.192093e-07; 980/1000
Check failed for (fp32): alpha = 6.170088; beta = 1.542522; diff = 1.192093e-07; 982/1000
Check failed for (fp32): alpha = 6.176371; beta = 1.544093; diff = 1.192093e-07; 983/1000
Check failed for (fp32): alpha = 6.182655; beta = 1.545664; diff = 1.192093e-07; 984/1000
Check failed for (fp32): alpha = 6.188938; beta = 1.547234; diff = 1.192093e-07; 985/1000
Check failed for (fp32): alpha = 6.201504; beta = 1.550376; diff = 1.117587e-07; 987/1000
Check failed for (fp32): alpha = 6.207787; beta = 1.551947; diff = 1.192093e-07; 988/1000
Check failed for (fp32): alpha = 6.214071; beta = 1.553518; diff = 1.192093e-07; 989/1000
Check failed for (fp32): alpha = 6.220354; beta = 1.555088; diff = 1.117587e-07; 990/1000
Check failed for (fp32): alpha = 6.239203; beta = 1.559801; diff = 1.192093e-07; 993/1000
Check failed for (fp32): alpha = 6.245486; beta = 1.561372; diff = 2.384186e-07; 994/1000
Check failed for (fp32): alpha = 6.25177; beta = 1.562942; diff = 1.192093e-07; 995/1000
Check failed for (fp32): alpha = 6.270619; beta = 1.567655; diff = 2.384186e-07; 998/1000
Check failed for (fp32): alpha = 6.276902; beta = 1.569226; diff = 2.384186e-07; 999/1000
Check failed for (fp32): alpha = 6.283185; beta = 1.570796; diff = 1.192093e-07; 1000/1000
Epsilon (fp32): 5.96046e-08
Failed: 1156; OK: 845
