Check failed for (fp128): alpha = -6.270618936565227303971436193025887793e+00; beta = -1.567654734141306825992859048256471948e+00; diff = 7.703719777548943412223911770339709274e-34; -998/1000
Check failed for (fp128): alpha = 5.717698629533423694002010957568695276e+00; beta = 1.429424657383355923500502739392173819e+00; diff = 7.703719777548943412223911770339709274e-34; 910/1000
Check failed for (fp128): alpha = 5.749114556069321626386637391401490551e+00; beta = 1.437278639017330406596659347850372638e+00; diff = 7.703719777548943412223911770339709274e-34; 915/1000
Check failed for (fp128): alpha = 5.774247297298039972294338538467726154e+00; beta = 1.443561824324509993073584634616931539e+00; diff = 7.703719777548943412223911770339709274e-34; 919/1000
Check failed for (fp128): alpha = 5.780530482605219558771263825234285055e+00; beta = 1.445132620651304889692815956308571264e+00; diff = 7.703719777548943412223911770339709274e-34; 920/1000
Check failed for (fp128): alpha = 5.830795965062656250586666119366757032e+00; beta = 1.457698991265664062646666529841689258e+00; diff = 7.703719777548943412223911770339709274e-34; 928/1000
Check failed for (fp128): alpha = 5.843362335677015423540516692899875604e+00; beta = 1.460840583919253855885129173224968901e+00; diff = 7.703719777548943412223911770339709274e-34; 930/1000
Check failed for (fp128): alpha = 5.855928706291374596494367266432993406e+00; beta = 1.463982176572843649123591816608248351e+00; diff = 7.703719777548943412223911770339709274e-34; 932/1000
Check failed for (fp128): alpha = 5.881061447520092942402068413499229779e+00; beta = 1.470265361880023235600517103374807445e+00; diff = 7.703719777548943412223911770339709274e-34; 936/1000
Check failed for (fp128): alpha = 5.893627818134452115355918987032346810e+00; beta = 1.473406954533613028838979746758086703e+00; diff = 7.703719777548943412223911770339709274e-34; 938/1000
Check failed for (fp128): alpha = 5.899911003441631701832844273798905711e+00; beta = 1.474977750860407925458211068449726428e+00; diff = 7.703719777548943412223911770339709274e-34; 939/1000
Check failed for (fp128): alpha = 5.906194188748811288309769560565464612e+00; beta = 1.476548547187202822077442390141366153e+00; diff = 7.703719777548943412223911770339709274e-34; 940/1000
Check failed for (fp128): alpha = 5.918760559363170461263620134098583184e+00; beta = 1.479690139840792615315905033524645796e+00; diff = 7.703719777548943412223911770339709274e-34; 942/1000
Check failed for (fp128): alpha = 5.931326929977529634217470707631700986e+00; beta = 1.482831732494382408554367676907925246e+00; diff = 7.703719777548943412223911770339709274e-34; 944/1000
Check failed for (fp128): alpha = 5.943893300591888807171321281164819558e+00; beta = 1.485973325147972201792830320291204889e+00; diff = 7.703719777548943412223911770339709274e-34; 946/1000
Check failed for (fp128): alpha = 5.950176485899068393648246567931378459e+00; beta = 1.487544121474767098412061641982844615e+00; diff = 7.703719777548943412223911770339709274e-34; 947/1000
Check failed for (fp128): alpha = 5.987875597742145912509798288530732634e+00; beta = 1.496968899435536478127449572132683158e+00; diff = 7.703719777548943412223911770339709274e-34; 953/1000
Check failed for (fp128): alpha = 6.044424265506762190802125869429763512e+00; beta = 1.511106066376690547700531467357440878e+00; diff = 7.703719777548943412223911770339709274e-34; 962/1000
Check failed for (fp128): alpha = 6.069557006735480536709827016495999115e+00; beta = 1.517389251683870134177456754123999779e+00; diff = 7.703719777548943412223911770339709274e-34; 966/1000
Check failed for (fp128): alpha = 6.082123377349839709663677590029117687e+00; beta = 1.520530844337459927415919397507279422e+00; diff = 7.703719777548943412223911770339709274e-34; 968/1000
Check failed for (fp128): alpha = 6.088406562657019296140602876795676588e+00; beta = 1.522101640664254824035150719198919147e+00; diff = 7.703719777548943412223911770339709274e-34; 969/1000
Check failed for (fp128): alpha = 6.094689747964198882617528163562235489e+00; beta = 1.523672436991049720654382040890558872e+00; diff = 7.703719777548943412223911770339709274e-34; 970/1000
Check failed for (fp128): alpha = 6.107256118578558055571378737095353290e+00; beta = 1.526814029644639513892844684273838323e+00; diff = 7.703719777548943412223911770339709274e-34; 972/1000
Check failed for (fp128): alpha = 6.119822489192917228525229310628471092e+00; beta = 1.529955622298229307131307327657117773e+00; diff = 7.703719777548943412223911770339709274e-34; 974/1000
Check failed for (fp128): alpha = 6.151238415728815160909855744461266367e+00; beta = 1.537809603932203790227463936115316592e+00; diff = 7.703719777548943412223911770339709274e-34; 979/1000
Check failed for (fp128): alpha = 6.157521601035994747386781031227825267e+00; beta = 1.539380400258998686846695257806956317e+00; diff = 7.703719777548943412223911770339709274e-34; 980/1000
Check failed for (fp128): alpha = 6.163804786343174333863706317994384168e+00; beta = 1.540951196585793583465926579498596042e+00; diff = 7.703719777548943412223911770339709274e-34; 981/1000
Check failed for (fp128): alpha = 6.182654342264713093294482178294061641e+00; beta = 1.545663585566178273323620544573515410e+00; diff = 7.703719777548943412223911770339709274e-34; 984/1000
Check failed for (fp128): alpha = 6.220353454107790612156033898893415816e+00; beta = 1.555088363526947653039008474723353954e+00; diff = 7.703719777548943412223911770339709274e-34; 990/1000
Check failed for (fp128): alpha = 6.226636639414970198632959185659974717e+00; beta = 1.556659159853742549658239796414993679e+00; diff = 7.703719777548943412223911770339709274e-34; 991/1000
Check failed for (fp128): alpha = 6.232919824722149785109884472426533618e+00; beta = 1.558229956180537446277471118106633404e+00; diff = 7.703719777548943412223911770339709274e-34; 992/1000
Check failed for (fp128): alpha = 6.270618936565227303971436193025887793e+00; beta = 1.567654734141306825992859048256471948e+00; diff = 7.703719777548943412223911770339709274e-34; 998/1000
Epsilon (fp128): 1.925929944387235853055977942584927319e-34
Failed: 532; OK: 1469
