Check failed for (fp32): alpha = 5.749115; diff1 = 2.384186e-07; diff2 = 3.381819; 915/1000
Check failed for (fp32): alpha = 5.755398; diff1 = 1.192093e-07; diff2 = 3.430833; 916/1000
Check failed for (fp32): alpha = 5.793097; diff1 = 1.192093e-07; diff2 = 3.748817; 922/1000
Check failed for (fp32): alpha = 5.79938; diff1 = 1.192093e-07; diff2 = 3.806208; 923/1000
Check failed for (fp32): alpha = 5.805664; diff1 = 1.192093e-07; diff2 = 3.864996; 924/1000
Check failed for (fp32): alpha = 5.811947; diff1 = 1.192093e-07; diff2 = 3.925225; 925/1000
Check failed for (fp32): alpha = 5.81823; diff1 = 1.192093e-07; diff2 = 3.986954; 926/1000
Check failed for (fp32): alpha = 5.874778; diff1 = 2.384186e-07; diff2 = 4.621727; 935/1000
Check failed for (fp32): alpha = 5.93761; diff1 = 2.384186e-07; diff2 = 5.555214; 945/1000
Check failed for (fp32): alpha = 5.943893; diff1 = 2.384186e-07; diff2 = 5.666679; 946/1000
Check failed for (fp32): alpha = 5.95646; diff1 = 2.384186e-07; diff2 = 5.901967; 948/1000
Check failed for (fp32): alpha = 5.962743; diff1 = 2.384186e-07; diff2 = 6.026264; 949/1000
Check failed for (fp32): alpha = 5.987876; diff1 = 4.768372e-07; diff2 = 6.574532; 953/1000
Check failed for (fp32): alpha = 6.019292; diff1 = 2.384186e-07; diff2 = 7.402066; 958/1000
Check failed for (fp32): alpha = 6.025575; diff1 = 2.384186e-07; diff2 = 7.59115; 959/1000
Check failed for (fp32): alpha = 6.031858; diff1 = 2.384186e-07; diff2 = 7.789488; 960/1000
Check failed for (fp32): alpha = 6.038141; diff1 = 2.384186e-07; diff2 = 7.997777; 961/1000
Check failed for (fp32): alpha = 6.063274; diff1 = 4.768372e-07; diff2 = 8.947489; 965/1000
Check failed for (fp32): alpha = 6.09469; diff1 = 4.768372e-07; diff2 = 10.4844; 970/1000
Check failed for (fp32): alpha = 6.107256; diff1 = 4.768372e-07; diff2 = 11.2507; 972/1000
Check failed for (fp32): alpha = 6.119823; diff1 = 4.768372e-07; diff2 = 12.13358; 974/1000
Check failed for (fp32): alpha = 6.170088; diff1 = 9.536743e-07; diff2 = 17.60847; 982/1000
Check failed for (fp32): alpha = 6.176371; diff1 = 9.536743e-07; diff2 = 18.65284; 983/1000
Check failed for (fp32): alpha = 6.188938; diff1 = 9.536743e-07; diff2 = 21.15782; 985/1000
Check failed for (fp32): alpha = 6.201504; diff1 = 9.536743e-07; diff2 = 24.431; 987/1000
Check failed for (fp32): alpha = 6.214071; diff1 = 9.536743e-07; diff2 = 28.89139; 989/1000
Check failed for (fp32): alpha = 6.220354; diff1 = 9.536743e-07; diff2 = 31.78917; 990/1000
Check failed for (fp32): alpha = 6.226637; diff1 = 1.907349e-06; diff2 = 35.33022; 991/1000
Epsilon (fp32): 5.96046e-08
Failed: 1114; OK: 887
